,Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Source,Mod_lat,Mod_long,lat_noise,long_noise
48,MAERSK KIMI,9162227,244132000,16° 58.871' N,055° 17.021' E,15/06/2019 16:50:51 +00:00,ENE,72,16.9,T-AIS,16.981183333333334,55.283683333333336,16.984241776439863,55.27886700619482
49,MAERSK KIMI,9162227,244132000,17° 16.466' N,056° 12.878' E,15/06/2019 20:05:44 +00:00,ENE,71,17.7,S-AIS,17.274433333333334,56.21463333333333,17.277006522627612,56.208651464121765
50,MAERSK KIMI,9162227,244132000,17° 55.366' N,057° 06.251' E,15/06/2019 23:42:38 +00:00,NE,46,17.8,T-AIS,17.922766666666668,57.10418333333333,17.92161414587976,57.103613493290034
51,MAERSK KIMI,9162227,244132000,18° 00.870' N,057° 12.279' E,16/06/2019 00:08:39 +00:00,NE,45,18.6,T-AIS,18.0145,57.20465,18.012234721747937,57.21086006368268
52,MAERSK KIMI,9162227,244132000,18° 16.191' N,057° 28.659' E,16/06/2019 01:19:09 +00:00,NE,48,18.5,T-AIS,18.26985,57.47765,18.261643514710343,57.48091357762482
53,MAERSK KIMI,9162227,244132000,18° 23.187' N,057° 36.412' E,16/06/2019 01:51:44 +00:00,NE,45,18.9,T-AIS,18.38645,57.60686666666667,18.381399690349696,57.61163748607321
54,MAERSK KIMI,9162227,244132000,18° 31.120' N,057° 45.226' E,16/06/2019 02:28:30 +00:00,NE,46,18.8,T-AIS,18.518666666666668,57.753766666666664,18.51594954516037,57.75807600611799
55,MAERSK KIMI,9162227,244132000,18° 36.687' N,057° 51.469' E,16/06/2019 02:54:27 +00:00,NE,46,18.8,T-AIS,18.61145,57.857816666666665,18.60901909447298,57.86976942309044
56,MAERSK KIMI,9162227,244132000,18° 45.996' N,058° 02.153' E,16/06/2019 03:37:51 +00:00,NE,46,19.2,T-AIS,18.7666,58.03588333333333,18.772706867073886,58.043021791076015
57,MAERSK KIMI,9162227,244132000,18° 53.953' N,058° 10.267' E,16/06/2019 04:12:59 +00:00,NNE,32,18.7,T-AIS,18.899216666666668,58.17111666666667,18.90285130450212,58.1635864861012
58,MAERSK KIMI,9162227,244132000,19° 00.633' N,058° 15.224' E,16/06/2019 04:38:32 +00:00,NNE,33,19.0,T-AIS,19.01055,58.25373333333334,19.0125075438565,58.261039281591465
59,MAERSK KIMI,9162227,244132000,19° 07.186' N,058° 20.018' E,16/06/2019 05:03:39 +00:00,NE,36,18.9,T-AIS,19.119766666666667,58.33363333333333,19.117351960525607,58.34276516075277
60,MAERSK KIMI,9162227,244132000,19° 14.906' N,058° 25.642' E,16/06/2019 05:33:15 +00:00,NNE,33,18.7,T-AIS,19.248433333333335,58.427366666666664,19.25183217676739,58.4267605584817
61,MAERSK KIMI,9162227,244132000,19° 21.463' N,058° 30.426' E,16/06/2019 05:58:28 +00:00,NNE,33,19.0,T-AIS,19.35771666666667,58.5071,19.360317347842596,58.50709494021129
62,MAERSK KIMI,9162227,244132000,19° 23.719' N,058° 32.113' E,16/06/2019 06:07:13 +00:00,NE,36,18.7,S-AIS,19.395316666666666,58.53521666666666,19.39953822936917,58.540425611972054
63,MAERSK KIMI,9162227,244132000,19° 27.938' N,058° 35.259' E,16/06/2019 06:23:39 +00:00,NE,35,18.7,T-AIS,19.465633333333333,58.58765,19.469371303775407,58.59229943960027
64,MAERSK KIMI,9162227,244132000,19° 34.502' N,058° 40.168' E,16/06/2019 06:49:20 +00:00,NE,35,18.6,T-AIS,19.575033333333334,58.669466666666665,19.572264989583374,58.663784245382715
65,MAERSK KIMI,9162227,244132000,20° 30.627' N,059° 18.235' E,16/06/2019 10:26:45 +00:00,NNE,22,18.0,T-AIS,20.51045,59.303916666666666,20.513531732735807,59.30511956995059
66,MAERSK KIMI,9162227,244132000,21° 14.918' N,059° 40.000' E,16/06/2019 13:13:27 +00:00,NNE,20,17.3,S-AIS,21.248633333333334,59.666666666666664,21.243721810578894,59.670517273651974
67,MAERSK KIMI,9162227,244132000,21° 36.600' N,059° 49.700' E,16/06/2019 14:35:31 +00:00,NNE,14,17.0,S-AIS,21.61,59.82833333333333,21.60451314908909,59.84138177620323
68,MAERSK KIMI,9162227,244132000,21° 40.000' N,059° 50.800' E,16/06/2019 14:47:31 +00:00,NNE,20,17.0,S-AIS,21.666666666666668,59.846666666666664,21.66021231482133,59.8467572038376
69,MAERSK KIMI,9162227,244132000,22° 59.037' N,059° 41.232' E,16/06/2019 20:05:39 +00:00,NW,317,17.0,T-AIS,22.98395,59.6872,22.986739641316678,59.688186374506195
